T X1 X2 U1 U2 Vx Vsup
0.000000000000000000e+00 1.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.125000000000000000e+00 1.124999999999999778e+00
1.000000000000000021e-02 1.467447671274055176e+00 -2.945238569458503639e-02 -1.000000000000000000e+00 -0.000000000000000000e+00 1.077135055475375136e+00 1.106466887817155298e+00
2.000000000000000042e-02 1.434810142635264851e+00 -5.762003512442510217e-02 -9.997986486564766073e-01 2.006644324944800717e-02 1.031000106928384508e+00 1.088360203910368362e+00
2.999999999999999889e-02 1.402118005674232393e+00 -8.452075530665763281e-02 -9.991946155170529087e-01 4.012630461092613759e-02 9.865393299567473129e-01 1.070669151459787249e+00
4.000000000000000083e-02 1.369401037402219634e+00 -1.101727670821636418e-01 -9.981880509493737952e-01 6.017154594898160153e-02 9.436986199224079996e-01 1.053383225851373117e+00
5.000000000000000278e-02 1.336688202812998938e+00 -1.345946827654729561e-01 -9.967792639017369893e-01 8.019413354798046734e-02 9.024255400840917041e-01 1.036492206441229635e+00
6.000000000000000472e-02 1.304007657848839541e+00 -1.578054841509379247e-01 -9.949687216862292960e-01 1.001860412735767064e-01 8.626692712782639827e-01 1.019986148557373573e+00
7.000000000000000666e-02 1.271386752758209893e+00 -1.798245008778210086e-01 -9.927570496921326315e-01 1.201392537290482954e-01 8.243805631025115099e-01 1.003855375732017663e+00
8.000000000000000167e-02 1.238852035832907816e+00 -2.006713891566710151e-01 -9.901450310291588508e-01 1.400457694050983859e-01 7.875116865567041158e-01 9.880904721576402316e-01
8.999999999999999667e-02 1.206429257512478648e+00 -2.203661108590987128e-01 -9.871336061000431927e-01 1.598976038217104767e-01 7.520163880986375782e-01 9.726822753603152627e-01
9.999999999999999167e-02 1.174143374843927834e+00 -2.389289129728060512e-01 -9.837238721019906373e-01 1.796867926606354471e-01 7.178498450721275681e-01 9.576218690839615189e-01
1.099999999999999867e-01 1.142018556284881248e+00 -2.563803074234726753e-01 -9.799170824564336080e-01 1.994053948870774529e-01 6.849686224667794754e-01 9.429005763793718575e-01
1.199999999999999817e-01 1.110078186838501235e+00 -2.727410512648610341e-01 -9.757146461665042736e-01 2.190454958591331880e-01 6.533306309698581060e-01 9.285099528920366385e-01
