w	mag
0.000	-16.478
0.021	-16.476
0.042	-16.470
0.063	-16.460
0.084	-16.446
0.105	-16.429
0.126	-16.407
0.147	-16.381
0.168	-16.352
0.189	-16.319
0.210	-16.283
0.231	-16.242
0.252	-16.199
0.273	-16.152
0.294	-16.102
0.315	-16.049
0.336	-15.993
0.357	-15.934
0.378	-15.872
0.399	-15.807
0.420	-15.740
0.441	-15.670
0.462	-15.598
0.483	-15.524
0.504	-15.448
0.525	-15.370
0.546	-15.290
0.567	-15.208
0.588	-15.124
0.609	-15.039
0.630	-14.953
0.651	-14.865
0.672	-14.776
0.693	-14.686
0.714	-14.594
0.735	-14.502
0.757	-14.409
0.778	-14.315
0.799	-14.220
0.820	-14.124
0.841	-14.028
0.862	-13.932
0.883	-13.835
0.904	-13.737
0.925	-13.639
0.946	-13.541
0.967	-13.442
0.988	-13.343
1.009	-13.244
1.030	-13.145
1.051	-13.046
1.072	-12.946
1.093	-12.847
1.114	-12.747
1.135	-12.648
1.156	-12.548
1.177	-12.449
1.198	-12.350
1.219	-12.251
1.240	-12.151
1.261	-12.052
1.282	-11.954
1.303	-11.855
1.324	-11.757
1.345	-11.658
1.366	-11.560
1.387	-11.463
1.408	-11.365
1.429	-11.268
1.450	-11.171
1.471	-11.074
1.492	-10.977
1.513	-10.881
1.534	-10.785
1.555	-10.689
1.576	-10.593
1.597	-10.498
1.618	-10.403
1.639	-10.308
1.660	-10.214
1.681	-10.120
1.702	-10.026
1.723	-9.932
1.744	-9.839
1.765	-9.746
1.786	-9.653
1.807	-9.560
1.828	-9.468
1.849	-9.376
1.870	-9.284
1.891	-9.193
1.912	-9.102
1.933	-9.011
1.954	-8.920
1.975	-8.829
1.996	-8.739
2.017	-8.649
2.038	-8.559
2.059	-8.470
2.080	-8.381
2.101	-8.291
2.122	-8.203
2.143	-8.114
2.164	-8.025
2.185	-7.937
2.206	-7.849
2.227	-7.761
2.248	-7.673
2.270	-7.586
2.291	-7.499
2.312	-7.411
2.333	-7.324
2.354	-7.237
2.375	-7.151
2.396	-7.064
2.417	-6.978
2.438	-6.891
2.459	-6.805
2.480	-6.719
2.501	-6.633
2.522	-6.547
2.543	-6.462
2.564	-6.376
2.585	-6.291
2.606	-6.205
2.627	-6.120
2.648	-6.034
2.669	-5.949
2.690	-5.864
2.711	-5.779
2.732	-5.694
2.753	-5.609
2.774	-5.524
2.795	-5.439
2.816	-5.354
2.837	-5.269
2.858	-5.184
2.879	-5.099
2.900	-5.014
2.921	-4.929
2.942	-4.844
2.963	-4.759
2.984	-4.674
3.005	-4.589
3.026	-4.504
3.047	-4.419
3.068	-4.334
3.089	-4.249
3.110	-4.164
3.131	-4.078
