w	mag
0.000000000000000000e+00	-1.647817481888637658e+01
2.101399768287487077e-02	-1.647617787190188210e+01
4.202799536574974154e-02	-1.647019209870637013e+01
6.304199304862460884e-02	-1.646023265790340773e+01
8.405599073149948308e-02	-1.644632466575443530e+01
1.050699884143743573e-01	-1.642850297691857619e+01
1.260839860972492177e-01	-1.640681188310922067e+01
1.470979837801240919e-01	-1.638130473507785467e+01
1.681119814629989662e-01	-1.635204349459180051e+01
1.891259791458738404e-01	-1.631909822413068412e+01
2.101399768287487146e-01	-1.628254652286126003e+01
2.311539745116235889e-01	-1.624247291804674731e+01
2.521679721944984354e-01	-1.619896822140009718e+01
2.731819698773733096e-01	-1.615212886000354331e+01
2.941959675602481838e-01	-1.610205619130325516e+01
3.152099652431230581e-01	-1.604885581136657891e+01
3.362239629259979323e-01	-1.599263686508642834e+01
3.572379606088728066e-01	-1.593351136636256626e+01
3.782519582917476808e-01	-1.587159353551468755e+01
3.992659559746225550e-01	-1.580699916032051888e+01
4.202799536574974293e-01	-1.573984498615613603e+01
4.412939513403723035e-01	-1.567024813977495512e+01
4.623079490232471778e-01	-1.559832559032526866e+01
4.833219467061220520e-01	-1.552419365029604137e+01
5.043359443889968707e-01	-1.544796751821860070e+01
5.253499420718718005e-01	-1.536976086415205778e+01
5.463639397547466192e-01	-1.528968545825552638e+01
5.673779374376215490e-01	-1.520785084210747051e+01
5.883919351204963677e-01	-1.512436404187584316e+01
6.094059328033712974e-01	-1.503932932197367478e+01
6.304199304862461162e-01	-1.495284797745057048e+01
6.514339281691210459e-01	-1.486501816306850365e+01
6.724479258519958647e-01	-1.477593475678404111e+01
6.934619235348706834e-01	-1.468568925520227353e+01
7.144759212177456131e-01	-1.459436969847327603e+01
7.354899189006204319e-01	-1.450206062206139990e+01
7.565039165834953616e-01	-1.440884303282411416e+01
7.775179142663701803e-01	-1.431479440688237581e+01
7.985319119492451101e-01	-1.421998870684143412e+01
8.195459096321199288e-01	-1.412449641602345274e+01
8.405599073149948586e-01	-1.402838458749428874e+01
8.615739049978696773e-01	-1.393171690580194522e+01
8.825879026807446071e-01	-1.383455375948791399e+01
9.036019003636194258e-01	-1.373695232258159393e+01
9.246158980464943555e-01	-1.363896664343807430e+01
9.456298957293691743e-01	-1.354064773942861066e+01
9.666438934122441040e-01	-1.344204369613859917e+01
9.876578910951189227e-01	-1.334319976986784617e+01
1.008671888777993741e+00	-1.324415849236144282e+01
1.029685886460868671e+00	-1.314495977682542716e+01
1.050699884143743601e+00	-1.304564102439911011e+01
1.071713881826618309e+00	-1.294623723036502128e+01
1.092727879509493238e+00	-1.284678108947791664e+01
1.113741877192368168e+00	-1.274730309988617094e+01
1.134755874875243098e+00	-1.264783166520207658e+01
1.155769872558117806e+00	-1.254839319435312284e+01
1.176783870240992735e+00	-1.244901219891357158e+01
1.197797867923867665e+00	-1.234971138767603449e+01
1.218811865606742595e+00	-1.225051175827607075e+01
1.239825863289617303e+00	-1.215143268572981228e+01
1.260839860972492232e+00	-1.205249200778587770e+01
1.281853858655367162e+00	-1.195370610702866898e+01
1.302867856338242092e+00	-1.185508998970097849e+01
1.323881854021116800e+00	-1.175665736124060778e+01
1.344895851703991729e+00	-1.165842069854806340e+01
1.365909849386866659e+00	-1.156039131902161721e+01
1.386923847069741367e+00	-1.146257944641171278e+01
1.407937844752616297e+00	-1.136499427355991187e+01
1.428951842435491226e+00	-1.126764402209800231e+01
1.449965840118366156e+00	-1.117053599919145590e+01
1.470979837801240864e+00	-1.107367665141765301e+01
1.491993835484115793e+00	-1.097707161587446478e+01
1.513007833166990723e+00	-1.088072576861785201e+01
1.534021830849865653e+00	-1.078464327052951788e+01
1.555035828532740361e+00	-1.068882761071667353e+01
1.576049826215615290e+00	-1.059328164754624879e+01
1.597063823898490220e+00	-1.049800764741522485e+01
1.618077821581365150e+00	-1.040300732135779427e+01
1.639091819264239858e+00	-1.030828185958818111e+01
1.660105816947114787e+00	-1.021383196407600380e+01
1.681119814629989717e+00	-1.011965787924848570e+01
1.702133812312864425e+00	-1.002575942091122840e+01
1.723147809995739355e+00	-9.932136003476303543e+00
1.744161807678614284e+00	-9.838786665583345581e+00
1.765175805361489214e+00	-9.745710094196240902e+00
1.786189803044363922e+00	-9.652904647254645809e+00
1.807203800727238852e+00	-9.560368374956546234e+00
1.828217798410113781e+00	-9.468099039744588552e+00
1.849231796092988711e+00	-9.376094135065837776e+00
1.870245793775863419e+00	-9.284350902971391761e+00
1.891259791458738349e+00	-9.192866350619153692e+00
1.912273789141613278e+00	-9.101637265740015081e+00
1.933287786824488208e+00	-9.010660231124782982e+00
1.954301784507362916e+00	-8.919931638186163525e+00
1.975315782190237845e+00	-8.829447699647531067e+00
1.996329779873112775e+00	-8.739204461407368285e+00
2.017343777555987483e+00	-8.649197813625711717e+00
2.038357775238862413e+00	-8.559423501076491192e+00
2.059371772921737342e+00	-8.469877132807305031e+00
2.080385770604612272e+00	-8.380554191145723308e+00
2.101399768287487202e+00	-8.291450040089298312e+00
2.122413765970362132e+00	-8.202559933114137891e+00
2.143427763653236617e+00	-8.113879020435090794e+00
2.164441761336111547e+00	-8.025402355748649796e+00
2.185455759018986477e+00	-7.937124902487886047e+00
2.206469756701861407e+00	-7.849041539617016561e+00
2.227483754384736336e+00	-7.761147066991657795e+00
2.248497752067611266e+00	-7.673436210309203531e+00
2.269511749750486196e+00	-7.585903625672405504e+00
2.290525747433361126e+00	-7.498543903787757259e+00
2.311539745116235611e+00	-7.411351573819098704e+00
2.332553742799110541e+00	-7.324321106915510526e+00
2.353567740481985471e+00	-7.237446919431535619e+00
2.374581738164860401e+00	-7.150723375856462560e+00
2.395595735847735330e+00	-7.064144791468669027e+00
2.416609733530610260e+00	-6.977705434729665868e+00
2.437623731213485190e+00	-6.891399529431893711e+00
2.458637728896359675e+00	-6.805221256613207537e+00
2.479651726579234605e+00	-6.719164756250286530e+00
2.500665724262109535e+00	-6.633224128742347681e+00
2.521679721944984465e+00	-6.547393436195827476e+00
2.542693719627859394e+00	-6.461666703519986399e+00
2.563707717310734324e+00	-6.376037919342767424e+00
2.584721714993609254e+00	-6.290501036755502540e+00
2.605735712676484184e+00	-6.205049973894595894e+00
2.626749710359358669e+00	-6.119678614367676239e+00
2.647763708042233599e+00	-6.034380807531148250e+00
2.668777705725108529e+00	-5.949150368625701901e+00
2.689791703407983459e+00	-5.863981078775682754e+00
2.710805701090858388e+00	-5.778866684857898228e+00
2.731819698773733318e+00	-5.693800899244932268e+00
2.752833696456608248e+00	-5.608777399427732568e+00
2.773847694139482734e+00	-5.523789827521719431e+00
2.794861691822357663e+00	-5.438831789660304672e+00
2.815875689505232593e+00	-5.353896855279522526e+00
2.836889687188107523e+00	-5.268978556296937121e+00
2.857903684870982453e+00	-5.184070386187701551e+00
2.878917682553857382e+00	-5.099165798960511253e+00
2.899931680236732312e+00	-5.014258208035611730e+00
2.920945677919607242e+00	-4.929340985027054423e+00
2.941959675602481727e+00	-4.844407458430841196e+00
2.962973673285356657e+00	-4.759450912220425600e+00
2.983987670968231587e+00	-4.674464584351011531e+00
3.005001668651106517e+00	-4.589441665173374041e+00
3.026015666333981446e+00	-4.504375295758177522e+00
3.047029664016856376e+00	-4.419258566131186505e+00
3.068043661699731306e+00	-4.334084513419728779e+00
3.089057659382605792e+00	-4.248846119910501429e+00
3.110071657065480721e+00	-4.163536311018462222e+00
3.131085654748355651e+00	-4.078147953166640249e+00
