w	mag
0.000	-16.478
0.010	-16.478
0.021	-16.477
0.031	-16.476
0.042	-16.475
0.052	-16.473
0.063	-16.471
0.073	-16.469
0.084	-16.466
0.094	-16.463
0.105	-16.459
0.115	-16.455
0.126	-16.450
0.136	-16.445
0.147	-16.440
0.157	-16.435
0.168	-16.429
0.178	-16.422
0.188	-16.416
0.199	-16.408
0.209	-16.401
0.220	-16.393
0.230	-16.385
0.241	-16.376
0.251	-16.367
0.262	-16.358
0.272	-16.348
0.283	-16.338
0.293	-16.327
0.304	-16.316
0.314	-16.305
0.325	-16.293
0.335	-16.281
0.346	-16.269
0.356	-16.256
0.367	-16.243
0.377	-16.229
0.387	-16.215
0.398	-16.201
0.408	-16.187
0.419	-16.172
0.429	-16.156
0.440	-16.141
0.450	-16.124
0.461	-16.108
0.471	-16.091
0.482	-16.074
0.492	-16.057
0.503	-16.039
0.513	-16.020
0.524	-16.002
0.534	-15.983
0.545	-15.964
0.555	-15.944
0.565	-15.924
0.576	-15.904
0.586	-15.883
0.597	-15.862
0.607	-15.840
0.618	-15.819
0.628	-15.797
0.639	-15.774
0.649	-15.751
0.660	-15.728
0.670	-15.705
0.681	-15.681
0.691	-15.657
0.702	-15.633
0.712	-15.608
0.723	-15.583
0.733	-15.557
0.744	-15.532
0.754	-15.505
0.764	-15.479
0.775	-15.452
0.785	-15.425
0.796	-15.398
0.806	-15.370
0.817	-15.342
0.827	-15.314
0.838	-15.285
0.848	-15.256
0.859	-15.227
0.869	-15.197
0.880	-15.167
0.890	-15.137
0.901	-15.106
0.911	-15.075
0.922	-15.044
0.932	-15.013
0.942	-14.981
0.953	-14.949
0.963	-14.916
0.974	-14.884
0.984	-14.850
0.995	-14.817
1.005	-14.783
1.016	-14.749
1.026	-14.715
1.037	-14.681
1.047	-14.646
1.058	-14.611
1.068	-14.575
1.079	-14.539
1.089	-14.503
1.100	-14.467
1.110	-14.430
1.121	-14.393
1.131	-14.356
1.141	-14.319
1.152	-14.281
1.162	-14.243
1.173	-14.204
1.183	-14.166
1.194	-14.127
1.204	-14.087
1.215	-14.048
1.225	-14.008
1.236	-13.968
1.246	-13.927
1.257	-13.887
1.267	-13.846
1.278	-13.804
1.288	-13.763
1.299	-13.721
1.309	-13.679
1.319	-13.636
1.330	-13.594
1.340	-13.551
1.351	-13.507
1.361	-13.464
1.372	-13.420
1.382	-13.376
1.393	-13.331
1.403	-13.287
1.414	-13.242
1.424	-13.196
1.435	-13.151
1.445	-13.105
1.456	-13.059
1.466	-13.012
1.477	-12.965
1.487	-12.918
1.497	-12.871
1.508	-12.824
1.518	-12.776
1.529	-12.727
1.539	-12.679
1.550	-12.630
1.560	-12.581
