w	mag
0.000	-16.478
0.021	-16.470
0.042	-16.447
0.063	-16.409
0.084	-16.357
0.105	-16.290
0.126	-16.209
0.147	-16.116
0.168	-16.011
0.188	-15.895
0.209	-15.768
0.230	-15.632
0.251	-15.488
0.272	-15.337
0.293	-15.179
0.314	-15.015
0.335	-14.847
0.356	-14.674
0.377	-14.498
0.398	-14.319
0.419	-14.137
0.440	-13.954
0.461	-13.770
0.482	-13.585
0.503	-13.399
0.524	-13.213
0.545	-13.028
0.565	-12.842
0.586	-12.658
0.607	-12.474
0.628	-12.292
0.649	-12.110
0.670	-11.930
0.691	-11.751
0.712	-11.574
0.733	-11.398
0.754	-11.224
0.775	-11.051
0.796	-10.880
0.817	-10.711
0.838	-10.544
0.859	-10.378
0.880	-10.214
0.901	-10.052
0.922	-9.891
0.942	-9.732
0.963	-9.575
0.984	-9.420
1.005	-9.266
1.026	-9.114
1.047	-8.964
1.068	-8.815
1.089	-8.668
1.110	-8.522
1.131	-8.378
1.152	-8.235
1.173	-8.094
1.194	-7.954
1.215	-7.816
1.236	-7.679
1.257	-7.543
1.278	-7.409
1.299	-7.276
1.319	-7.144
1.340	-7.013
1.361	-6.884
1.382	-6.756
1.403	-6.629
1.424	-6.504
1.445	-6.379
1.466	-6.255
1.487	-6.133
1.508	-6.012
1.529	-5.891
1.550	-5.772
1.571	-5.653
1.592	-5.536
1.613	-5.419
1.634	-5.304
1.655	-5.189
1.676	-5.075
1.696	-4.962
1.717	-4.850
1.738	-4.738
1.759	-4.627
1.780	-4.517
1.801	-4.408
1.822	-4.300
1.843	-4.192
1.864	-4.085
1.885	-3.979
1.906	-3.873
1.927	-3.768
1.948	-3.663
1.969	-3.559
1.990	-3.456
2.011	-3.353
2.032	-3.251
2.053	-3.150
2.073	-3.049
2.094	-2.948
2.115	-2.848
2.136	-2.748
2.157	-2.649
2.178	-2.551
2.199	-2.452
2.220	-2.355
2.241	-2.257
2.262	-2.160
2.283	-2.064
2.304	-1.968
2.325	-1.872
2.346	-1.777
2.367	-1.681
2.388	-1.587
2.409	-1.492
2.429	-1.398
2.450	-1.304
2.471	-1.211
2.492	-1.118
2.513	-1.025
2.534	-0.932
2.555	-0.839
2.576	-0.747
2.597	-0.655
2.618	-0.564
2.639	-0.472
2.660	-0.381
2.681	-0.289
2.702	-0.198
2.723	-0.108
2.744	-0.017
2.765	0.074
2.786	0.164
2.806	0.254
2.827	0.344
2.848	0.434
2.869	0.524
2.890	0.614
2.911	0.704
2.932	0.793
2.953	0.883
2.974	0.973
2.995	1.062
3.016	1.151
3.037	1.241
3.058	1.330
3.079	1.420
3.100	1.509
3.121	1.598
