w	mag
0.000	-16.478
0.021	-16.478
0.042	-16.476
0.063	-16.473
0.084	-16.469
0.105	-16.464
0.126	-16.458
0.147	-16.451
0.168	-16.443
0.188	-16.433
0.209	-16.423
0.230	-16.411
0.251	-16.399
0.272	-16.385
0.293	-16.370
0.314	-16.355
0.335	-16.338
0.356	-16.320
0.377	-16.301
0.398	-16.281
0.419	-16.260
0.440	-16.239
0.461	-16.216
0.482	-16.192
0.503	-16.167
0.524	-16.141
0.545	-16.115
0.565	-16.087
0.586	-16.058
0.607	-16.029
0.628	-15.999
0.649	-15.968
0.670	-15.936
0.691	-15.903
0.712	-15.869
0.733	-15.834
0.754	-15.799
0.775	-15.763
0.796	-15.726
0.817	-15.688
0.838	-15.650
0.859	-15.611
0.880	-15.571
0.901	-15.530
0.922	-15.489
0.942	-15.447
0.963	-15.405
0.984	-15.361
1.005	-15.317
1.026	-15.273
1.047	-15.228
1.068	-15.182
1.089	-15.136
1.110	-15.089
1.131	-15.042
1.152	-14.994
1.173	-14.945
1.194	-14.896
1.215	-14.846
1.236	-14.796
1.257	-14.746
1.278	-14.695
1.299	-14.643
1.319	-14.592
1.340	-14.539
1.361	-14.486
1.382	-14.433
1.403	-14.380
1.424	-14.326
1.445	-14.271
1.466	-14.216
1.487	-14.161
1.508	-14.106
1.529	-14.050
1.550	-13.994
1.571	-13.937
1.592	-13.880
1.613	-13.823
1.634	-13.766
1.655	-13.708
1.676	-13.650
1.696	-13.591
1.717	-13.533
1.738	-13.474
1.759	-13.414
1.780	-13.355
1.801	-13.295
1.822	-13.235
1.843	-13.175
1.864	-13.114
1.885	-13.053
1.906	-12.992
1.927	-12.931
1.948	-12.869
1.969	-12.808
1.990	-12.746
2.011	-12.684
2.032	-12.621
2.053	-12.559
2.073	-12.496
2.094	-12.433
2.115	-12.370
2.136	-12.306
2.157	-12.243
2.178	-12.179
2.199	-12.115
2.220	-12.051
2.241	-11.987
2.262	-11.922
2.283	-11.857
2.304	-11.793
2.325	-11.727
2.346	-11.662
2.367	-11.597
2.388	-11.531
2.409	-11.465
2.429	-11.399
2.450	-11.333
2.471	-11.267
2.492	-11.200
2.513	-11.134
2.534	-11.067
2.555	-11.000
2.576	-10.933
2.597	-10.865
2.618	-10.798
2.639	-10.730
2.660	-10.662
2.681	-10.594
2.702	-10.526
2.723	-10.457
2.744	-10.389
2.765	-10.320
2.786	-10.251
2.806	-10.182
2.827	-10.112
2.848	-10.043
2.869	-9.973
2.890	-9.903
2.911	-9.833
2.932	-9.763
2.953	-9.692
2.974	-9.621
2.995	-9.550
3.016	-9.479
3.037	-9.408
3.058	-9.336
3.079	-9.265
3.100	-9.193
3.121	-9.120
