w	mag
0.000000000000000000e+00	-1.647817481888638014e+01
2.101399768287487077e-02	-1.647761678953160924e+01
4.202799536574974154e-02	-1.647594301335378475e+01
6.304199304862460884e-02	-1.647315442531080265e+01
8.405599073149948308e-02	-1.646925258133070358e+01
1.050699884143743573e-01	-1.646423965482029672e+01
1.260839860972492177e-01	-1.645811843179980372e+01
1.470979837801240919e-01	-1.645089230468580510e+01
1.681119814629989662e-01	-1.644256526475099633e+01
1.891259791458738404e-01	-1.643314189329493047e+01
2.101399768287487146e-01	-1.642262735156569420e+01
2.311539745116235889e-01	-1.641102736947757990e+01
2.521679721944984354e-01	-1.639834823317493573e+01
2.731819698773733096e-01	-1.638459677149676708e+01
2.941959675602481838e-01	-1.636978034140093285e+01
3.152099652431230581e-01	-1.635390681241046096e+01
3.362239629259979323e-01	-1.633698455014780038e+01
3.572379606088728066e-01	-1.631902239902559160e+01
3.782519582917476808e-01	-1.630002966416497046e+01
3.992659559746225550e-01	-1.628001609261414373e+01
4.202799536574974293e-01	-1.625899185394146329e+01
4.412939513403723035e-01	-1.623696752027804990e+01
4.623079490232471778e-01	-1.621395404588551514e+01
4.833219467061220520e-01	-1.618996274632417709e+01
5.043359443889968707e-01	-1.616500527729691328e+01
5.253499420718718005e-01	-1.613909361324263259e+01
5.463639397547466192e-01	-1.611224002575235659e+01
5.673779374376215490e-01	-1.608445706187899304e+01
5.883919351204963677e-01	-1.605575752241008658e+01
6.094059328033712974e-01	-1.602615444017039792e+01
6.304199304862461162e-01	-1.599566105841861763e+01
6.514339281691210459e-01	-1.596429080939969225e+01
6.724479258519958647e-01	-1.593205729311117480e+01
6.934619235348706834e-01	-1.589897425633869865e+01
7.144759212177456131e-01	-1.586505557201238936e+01
7.354899189006204319e-01	-1.583031521893244964e+01
7.565039165834953616e-01	-1.579476726190849689e+01
7.775179142663701803e-01	-1.575842583235368011e+01
7.985319119492451101e-01	-1.572130510937072678e+01
8.195459096321199288e-01	-1.568341930136362450e+01
8.405599073149948586e-01	-1.564478262820463783e+01
8.615739049978696773e-01	-1.560540930398299864e+01
8.825879026807446071e-01	-1.556531352035785432e+01
9.036019003636194258e-01	-1.552450943053470667e+01
9.246158980464943555e-01	-1.548301113388100170e+01
9.456298957293691743e-01	-1.544083266119351272e+01
9.666438934122441040e-01	-1.539798796062677866e+01
9.876578910951189227e-01	-1.535449088428905284e+01
1.008671888777993741e+00	-1.531035517550924396e+01
1.029685886460868671e+00	-1.526559445677575866e+01
1.050699884143743601e+00	-1.522022221834554756e+01
1.071713881826618309e+00	-1.517425180751934732e+01
1.092727879509493238e+00	-1.512769641857700265e+01
1.113741877192368168e+00	-1.508056908336456914e+01
1.134755874875243098e+00	-1.503288266252331340e+01
1.155769872558117806e+00	-1.498464983734877087e+01
1.176783870240992735e+00	-1.493588310226685323e+01
1.197797867923867665e+00	-1.488659475791235920e+01
1.218811865606742595e+00	-1.483679690479422497e+01
1.239825863289617303e+00	-1.478650143753085899e+01
1.260839860972492232e+00	-1.473572003963788646e+01
1.281853858655367162e+00	-1.468446417885001765e+01
1.302867856338242092e+00	-1.463274510295807573e+01
1.323881854021116800e+00	-1.458057383614176672e+01
1.344895851703991729e+00	-1.452796117577840107e+01
1.365909849386866659e+00	-1.447491768970754755e+01
1.386923847069741367e+00	-1.442145371393135633e+01
1.407937844752616297e+00	-1.436757935073040926e+01
1.428951842435491226e+00	-1.431330446717474913e+01
1.449965840118366156e+00	-1.425863869401010575e+01
1.470979837801240864e+00	-1.420359142489926185e+01
1.491993835484115793e+00	-1.414817181599896756e+01
1.513007833166990723e+00	-1.409238878585298060e+01
1.534021830849865653e+00	-1.403625101558224486e+01
1.555035828532740361e+00	-1.397976694935350928e+01
1.576049826215615290e+00	-1.392294479510832339e+01
1.597063823898490220e+00	-1.386579252553461217e+01
1.618077821581365150e+00	-1.380831787926369358e+01
1.639091819264239858e+00	-1.375052836227601283e+01
1.660105816947114787e+00	-1.369243124949957391e+01
1.681119814629989717e+00	-1.363403358658538522e+01
1.702133812312864425e+00	-1.357534219184504209e+01
1.723147809995739355e+00	-1.351636365833599740e+01
1.744161807678614284e+00	-1.345710435608069311e+01
1.765175805361489214e+00	-1.339757043440638640e+01
