ulabel	time	v
ub	0.0	0.028171031949
ub	0.80134510994	0.16992601407
ub	1.60080194473	0.240046445522
ua	2.40150403976	0.119478296095
ua	3.20114994049	-0.0778396347618
ua	4.00075793266	-0.223215705462
ua	4.80023908615	-0.266586411713
ua	5.60139298439	-0.261361467876
ua	6.40141606331	-0.257718222725
ua	7.20139193535	-0.279034364226
ub	8.00121903419	0.0388187326395
ub	8.8007080555	0.178320620844
ub	9.60067009926	0.224689072912
ub	10.401376009	0.227570700614
ub	11.2015271187	0.228332022005
ub	12.0011129379	0.194603814674
ub	12.8015770912	0.175160989781
ua	13.6014859676	0.0301723608706
ua	14.4014949799	-0.167460275109
ua	15.2009649277	-0.282811996431
ua	16.0013971329	-0.274890175611
ua	16.8013250828	-0.224157844239
ua	17.6011040211	-0.184342768669
ua	18.4006669521	-0.22434938369
ub	19.2013039589	0.0910214481087
ub	20.0014541149	0.241204145349
ub	20.8013980389	0.23681642826
ub	21.6014430523	0.186751944312
ub	22.4014770985	0.168684732585
ub	23.2013640404	0.179916813018
ub	24.0013871193	0.17000402956
ua	24.8015730381	0.0403874588832
ua	25.6015341282	-0.139448229721
ua	26.4008090496	-0.238548096371
ua	27.2014040947	-0.227743084357
ua	28.0014960766	-0.217397920231
ua	28.8014409542	-0.235848933058
ua	29.6014420986	-0.258867906475
ub	30.4012880325	0.100288236747
ub	31.2011950016	0.223569117496
ub	32.0015239716	0.201399379465
ub	32.8013191223	0.229528280661
ub	33.6014740467	0.204012106552
ub	34.401391983	0.187161802018
ub	35.2009301186	0.216079970284
ua	36.0014519691	0.0851416306284
ua	36.8014500141	-0.135708178435
ua	37.6015279293	-0.286696152021
ua	38.4013781548	-0.273255418266
ua	39.2013950348	-0.241435465098
ua	40.001969099	-0.211720042415
